,id,badge
1147,21997,highlightWomen
1148,21996,highlightLatinx
1149,21852,highlightWomen
1150,21789,highlightBlack
1151,21737,highlightWomen
1152,19925,highlightWomen
1153,22205,highlightWomen
1154,21984,highlightLatinx
1155,21895,highlightWomen
1156,21805,highlightWomen
1157,13173,highlightWomen
1158,23202,topCompany
1159,22721,topCompany
1160,23661,highlightLatinx
1161,23645,highlightBlack
1162,23642,highlightLatinx
1163,23640,highlightBlack
1164,23636,highlightWomen
1165,23633,highlightWomen
1166,23630,highlightWomen
1167,23613,highlightWomen
1168,23612,isHiring
1169,23599,isHiring
1170,23598,isHiring
1171,23568,highlightLatinx
1172,23555,isHiring
1173,23550,highlightWomen
1174,23541,highlightLatinx
1175,23539,isHiring
1176,23530,isHiring
1177,23522,highlightWomen
1178,23472,isHiring
1179,23460,highlightLatinx
1180,23459,isHiring
1181,23458,highlightBlack
1182,23443,highlightBlack
1183,23434,highlightLatinx
1184,23433,highlightLatinx
1185,23432,highlightLatinx
1186,23432,isHiring
1187,23431,isHiring
1188,23430,highlightLatinx
1189,23429,nonprofit
1190,23429,highlightLatinx
1191,23429,highlightWomen
1192,23421,highlightWomen
1193,23414,highlightLatinx
1194,23398,highlightBlack
1195,23398,isHiring
1196,23389,isHiring
1197,23371,isHiring
1198,23369,isHiring
1199,23368,highlightLatinx
1200,23368,isHiring
1201,23366,highlightLatinx
1202,23357,highlightLatinx
1203,23355,isHiring
1204,23317,highlightWomen
1205,23317,isHiring
1206,23316,highlightWomen
1207,23302,highlightBlack
1208,23301,highlightBlack
1209,23301,highlightLatinx
1210,23301,isHiring
1211,23292,highlightLatinx
1212,23277,highlightLatinx
1213,23271,highlightWomen
1214,23268,highlightWomen
1215,23268,isHiring
1216,23266,highlightLatinx
1217,23265,highlightBlack
1218,23261,highlightLatinx
1219,23261,highlightWomen
1220,23260,highlightLatinx
1221,23260,highlightWomen
1222,23259,isHiring
1223,23240,highlightLatinx
1224,23238,highlightLatinx
1225,23236,isHiring
1226,23226,isHiring
1227,23220,highlightWomen
1228,23200,isHiring
1229,23193,highlightWomen
1230,23193,isHiring
1231,23191,highlightWomen
1232,23191,isHiring
1233,23175,isHiring
